"KEGG_ID"	"ENTREZID"	"SYMBOL"	"PATHWAY"
"106"	"mmu00030"	"14121"	"Fbp1"	"Pentose phosphate pathway"
"107"	"mmu00030"	"14380"	"G6pd2"	"Pentose phosphate pathway"
"108"	"mmu00030"	"14381"	"G6pdx"	"Pentose phosphate pathway"
"109"	"mmu00030"	"14751"	"Gpi1"	"Pentose phosphate pathway"
"110"	"mmu00030"	"18641"	"Pfkl"	"Pentose phosphate pathway"
"111"	"mmu00030"	"18642"	"Pfkm"	"Pentose phosphate pathway"
"112"	"mmu00030"	"19139"	"Prps1"	"Pentose phosphate pathway"
"113"	"mmu00030"	"19733"	"Rgn"	"Pentose phosphate pathway"
"114"	"mmu00030"	"19895"	"Rpia"	"Pentose phosphate pathway"
"115"	"mmu00030"	"21351"	"Taldo1"	"Pentose phosphate pathway"
"116"	"mmu00030"	"21881"	"Tkt"	"Pentose phosphate pathway"
"117"	"mmu00030"	"230163"	"Aldob"	"Pentose phosphate pathway"
"118"	"mmu00030"	"232449"	"Dera"	"Pentose phosphate pathway"
"119"	"mmu00030"	"235582"	"Glyctk"	"Pentose phosphate pathway"
"120"	"mmu00030"	"328099"	"Prps1l3"	"Pentose phosphate pathway"
"121"	"mmu00030"	"353204"	"Aldoart1"	"Pentose phosphate pathway"
"122"	"mmu00030"	"56421"	"Pfkp"	"Pentose phosphate pathway"
"123"	"mmu00030"	"66171"	"Pgls"	"Pentose phosphate pathway"
"124"	"mmu00030"	"66646"	"Rpe"	"Pentose phosphate pathway"
"125"	"mmu00030"	"66681"	"Pgm1"	"Pentose phosphate pathway"
"126"	"mmu00030"	"71336"	"Rbks"	"Pentose phosphate pathway"
"127"	"mmu00030"	"72157"	"Pgm2"	"Pentose phosphate pathway"
"128"	"mmu00030"	"74419"	"Tktl2"	"Pentose phosphate pathway"
"129"	"mmu00030"	"75456"	"Prps1l1"	"Pentose phosphate pathway"
