"","INT:C079.mzML","INT:C080.mzML","INT:C081.mzML","INT:C083.mzML","INT:C084.mzML","INT:C103.mzML","INT:C105.mzML","INT:C123.mzML","INT:C135.mzML","INT:C137.mzML","INT:C141.mzML","INT:C145.mzML","INT:C149.mzML","INT:C155.mzML","INT:C176.mzML"
"CE(24:0)",0.183098261743247,0.12992217627847,0.180385083375151,0.16352130324239,0.197252016659558,0.0604843209733871,0.401427006866624,0.0991264840601933,0.205311162231833,0.249455128751201,0.221045083311548,0.227122125956168,0.101777529023376,0.186138944607671,0.160291377377444
"Cer(d18:1/12:0)",0.227269775551027,0.338266821776786,0.283866926558968,0.326830321298803,0.241963108210432,0.257539657080124,0.317990219689815,0.245913713560985,0.231009106956692,0.334132327597251,0.340884981314897,0.29966903403957,0.216307636472459,0.272896725259661,0.286226924673379
"Cer(d18:1/14:0)",0.00312089122168248,0.0297366032394857,0.0231139241079834,0.0326587084268426,0.0218298854189316,0.0286610443690311,0.0227153999249833,0.0160119039255908,0.00873888240606956,0.00789650983149717,0.000279446028727589,0.028632303928351,0.0273669537015905,0.0324945668434498,0.0255641888428568
"Cer(d18:1/16:0)",0.923409082472541,1.53518837490015,0.8802464347639,2.16764925624525,0.784778659667724,0.881427873518005,1.36765800466916,1.40775156272146,1.4122431500147,0.843741096839637,1.01563820839718,1.16103158590379,1.40327339301461,1.31087368121772,1.09818894848184
"Cer(d18:1/18:1)",0.0358867383922045,0.042468603250325,0.0375061671502616,0.00269010697768085,0.00269010697768085,0.00575647271866108,0.0322576930830175,0.0215461757309774,0.0413899285405148,0.0143527393235539,0.019036544428736,0.0154854743341463,0.024717495337495,0.0189241465557058,0.015803724309024
"Cer(d18:1/18:0)",0.0552390363196715,0.0689014135624615,0.0586386945791295,0.0451243525305736,0.0242584049177562,0.0304333686299332,0.056851629384277,0.0430421855232315,0.078752132823549,0.0502470755821951,0.0630177861447079,0.0469342573508618,0.0484054977290416,0.0508880378927447,0.0419907354670632
"Cer(d18:1/20:0)",0.00748675772754162,0.0538447508731962,0.0427306795493851,0.00748675772754162,0.00748675772754162,0.0207279888398999,0.0263329242441389,0.0202578057160792,0.013899243437133,0.0104904577131392,0.0157131430088235,0.0175539134079584,0.0155324682495221,0.0131622594174974,0.0234131364989106
"Cer(d18:1/22:0)",0.132929782520842,0.251150364686753,0.255599882937929,0.254111346671634,0.104840902832837,0.140940311873214,0.188692736774937,0.251003713834705,0.222518315799617,0.148229998620548,0.21214523157184,0.187401969014693,0.259437589241833,0.175631596604321,0.163178357931213
"Cer(d18:1/24:2)",0.462258164398361,0.70598347805702,0.608124783516323,0.772706782052231,0.481493400946,0.547185784224895,0.621568795569547,0.585717728020294,0.538372346546766,0.644486336439465,0.748477256791809,0.644549900926266,0.527076391953918,0.525588128653033,0.58321257121827
"Cer(d18:1/24:1)",0.859567260928374,1.03711933479218,1.29372135728088,1.926530980321,0.665690588622099,0.528254046416097,1.30448836175836,1.28652228684732,1.24388518019262,1.18241742543583,1.43838951078824,0.771608482861458,1.79039790614746,1.44922476469757,0.831147240192409
"Cer(d18:1/24:0)",0.829853190557854,1.28707071515954,1.61444260156912,1.58039056421876,0.665323135383058,0.743270399840083,1.15285182898604,1.571714512259,1.06627615276457,1.09701674097327,1.33920757761379,1.15492594574361,2.08098121726004,0.885825331188891,0.925917657796395
"DAG(28:0)",0.151919919571297,0.17625610036706,0.138729640887006,0.151424946728579,0.264850002818299,0.280669503641944,0.166119231874674,0.107913511348776,0.18012148614092,0.176001901782105,0.193007813579308,0.201354039933448,0.126538532074019,0.0919290973284791,0.216257573819777
"DAG(30:1)",0.0552014856524535,0.0809216914183353,0.0831470982123533,0.059721759516475,0.0839565166392973,0.107579043747273,0.0626548298094828,0.0953390099196326,0.0542256188866637,0.0673420130564143,0.116751401382949,0.0877557327244567,0.0457002812468812,0.0329340515207296,0.0824266488228361
"DAG(30:0)",0.238016338007059,0.321457929334231,0.328436177898438,0.358328870458862,0.708719159629115,0.753159419801011,0.30215648820219,0.257536428406775,0.344606977527754,0.335212634976487,0.470888163993994,0.45189287155203,0.242627378337361,0.159635469469921,0.478083153185505
"DAG(32:2)",0.0367980708756724,0.0643429037301872,0.0426552948405821,0.0814252069294188,0.107267363517979,0.108423308222353,0.0636172333603531,0.0518029625692915,0.0607700384118147,0.0542227481723951,0.110612508623185,0.0596719085258073,0.0265832966808915,0.0314296393186702,0.0833702110777844
